song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Mambo No. 5 (A Little Bit of...),27,219600,0.107,0.607,0.802,0.0,5,0.305,-6.849,0,0.40299999999999997,174.201,4,0.9009999999999999
Chop It (Blvk Sheep Remix),52,156004,0.0028699999999999997,0.7090000000000001,0.96,0.524,11,0.272,-3.891,1,0.195,160.065,4,0.882
Feu de bois,75,183306,0.256,0.789,0.633,1.31e-06,2,0.092,-6.269,1,0.0734,138.097,4,0.262
Everybody Walkin' This Land,12,186111,0.8420000000000001,0.705,0.424,0.0050100000000000006,7,0.204,-8.459,1,0.0412,96.056,4,0.35700000000000004
Stunna,47,219850,0.145,0.687,0.527,2.78e-06,9,0.114,-6.614,1,0.0813,149.874,4,0.44799999999999995
Kung Fu Fighting,71,197693,0.0422,0.598,0.6729999999999999,6.840000000000001e-05,2,0.289,-10.431,1,0.0693,102.035,4,0.59
Where Have All the Cowboys Gone ? - Remastered Version,52,266320,0.11900000000000001,0.68,0.723,7.69e-06,6,0.359,-5.598,0,0.0439,129.012,4,0.6759999999999999
Trouble,43,204634,0.0172,0.504,0.7170000000000001,0.0,2,0.38299999999999995,-5.465,1,0.0747,147.862,4,0.35200000000000004
Detalles,51,278871,0.184,0.7240000000000001,0.77,3.7e-05,4,0.243,-4.024,1,0.0533,176.243,4,0.935
Let Her Go,78,252866,0.385,0.509,0.5379999999999999,0.0,7,0.10400000000000001,-7.335,1,0.0572,75.089,4,0.244
El Perdón,78,205906,0.446,0.628,0.69,0.0,8,0.11199999999999999,-5.827999999999999,1,0.0511,179.91099999999997,4,0.662
Girls Ain't Nothing But Trouble - 1988 Extended Remix,42,289293,0.0030600000000000002,0.602,0.726,0.0,7,0.0379,-8.937000000000001,1,0.248,97.765,4,0.693
Faith - Remastered,75,193200,0.0094,0.887,0.48,3.5799999999999996e-05,11,0.0662,-11.994000000000002,1,0.11699999999999999,95.846,4,0.607
"Final Speech - April 3, 1968",20,69853,0.986,0.521,0.741,0.00175,1,0.833,-12.401,1,0.6409999999999999,93.02,3,0.43700000000000006
Number One,1,252663,0.0466,0.784,0.8029999999999999,1.57e-05,9,0.0773,-3.458,0,0.0597,111.044,4,0.785
Always Wonder,56,223906,0.7240000000000001,0.584,0.529,0.0968,3,0.0753,-10.038,0,0.0416,142.999,4,0.645
House Of The Rising Sun,70,271280,0.00038500000000000003,0.295,0.584,0.218,9,0.0996,-6.696000000000001,0,0.0345,117.2,3,0.228
Swalla (feat. Nicki Minaj & Ty Dolla $ign),82,216408,0.075,0.696,0.8170000000000001,0.0,1,0.187,-3.862,1,0.109,98.064,4,0.782
Through The Storm,71,163566,0.631,0.8809999999999999,0.581,0.0,5,0.0986,-5.162000000000001,1,0.0901,78.508,4,0.8759999999999999
Set Me at Ease,43,173250,0.478,0.561,0.321,0.69,6,0.106,-11.107000000000001,0,0.0348,79.985,4,0.079
Don’t Delete The Kisses,63,275226,0.0011,0.604,0.789,0.83,5,0.368,-6.2589999999999995,1,0.0273,122.024,4,0.34700000000000003
People Make the World Go Round,50,213800,0.6829999999999999,0.7240000000000001,0.495,4.31e-06,4,0.36700000000000005,-9.06,0,0.052000000000000005,83.119,4,0.764
Perfect Instance,67,253061,0.727,0.48100000000000004,0.256,0.816,5,0.114,-14.290999999999999,0,0.0284,104.11200000000001,3,0.0383
Trouble On Central,57,187426,0.233,0.812,0.44799999999999995,0.000272,1,0.13,-6.621,0,0.0666,99.958,4,0.5760000000000001
PASS OUT (feat. 21 Savage),85,224903,0.0403,0.917,0.7859999999999999,0.0,11,0.195,-4.921,0,0.20800000000000002,143.03799999999998,4,0.441
Ya No Tiene Novio,90,198933,0.048,0.632,0.8320000000000001,0.0,7,0.0705,-1.9480000000000002,0,0.154,182.18400000000003,4,0.784
Back To Back,71,170637,0.00898,0.635,0.47200000000000003,0.0,8,0.11699999999999999,-3.8689999999999998,0,0.511,174.00799999999998,4,0.373
American Pie,74,515866,0.6,0.527,0.509,0.0,7,0.14400000000000002,-10.892999999999999,1,0.0628,138.317,4,0.49700000000000005
Nonstop,66,238613,0.0306,0.909,0.405,0.00698,6,0.105,-8.133,0,0.14,154.984,4,0.455
Sanctuary,23,227635,0.00345,0.515,0.7140000000000001,0.0,0,0.0781,-6.513999999999999,1,0.0373,77.028,4,0.307
Aalam E Yekrangee,37,290920,0.369,0.623,0.428,1.3699999999999998e-05,2,0.0529,-13.345,0,0.0946,125.066,3,0.594
Born to Love You,77,230013,0.13,0.659,0.902,9.449999999999999e-05,7,0.0574,-6.192,1,0.0296,124.985,4,0.809
Precio,57,213586,0.10800000000000001,0.757,0.7040000000000001,0.000392,9,0.0953,-3.5210000000000004,1,0.0664,144.972,4,0.408
Someone Like You,28,342400,0.00183,0.48700000000000004,0.9279999999999999,0.304,6,0.111,-6.7829999999999995,0,0.0363,152.02100000000002,4,0.836
It's Such A Pretty World Today,43,150093,0.8540000000000001,0.622,0.344,0.0,4,0.31,-12.833,1,0.0396,118.37700000000001,4,0.6729999999999999
Welcome To The Jungle,75,273600,0.0326,0.445,0.955,0.284,8,0.317,-8.027000000000001,1,0.0856,123.34299999999999,4,0.336
Just Friends,70,238991,0.105,0.639,0.685,0.0,9,0.14300000000000002,-4.571000000000001,0,0.049,110.041,4,0.363
I Forgive You,44,177109,0.35,0.7979999999999999,0.428,0.00037400000000000004,0,0.10800000000000001,-8.727,0,0.0384,109.98100000000001,4,0.669
Lovesick (feat. Felix Snow),5,234693,0.11599999999999999,0.74,0.583,0.0007740000000000001,9,0.23800000000000002,-7.095,0,0.0312,101.01100000000001,4,0.34600000000000003
PRBLMS,7,246773,0.0303,0.672,0.574,2.02e-06,9,0.18,-4.663,1,0.0993,103.01899999999999,4,0.106
Footloose,74,226826,0.0984,0.583,0.905,0.00018999999999999998,2,0.0593,-6.132000000000001,1,0.0733,173.982,4,0.6459999999999999
Anyway,50,169218,0.0711,0.754,0.846,6.11e-06,5,0.132,-4.901,0,0.0716,103.963,4,0.649
Closer,9,271653,0.00146,0.5720000000000001,0.8190000000000001,0.0108,2,0.141,-2.7110000000000003,0,0.0333,91.945,4,0.33899999999999997
REEL IT IN,87,121346,0.073,0.754,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
Brass,65,182630,0.18600000000000003,0.726,0.899,0.00101,5,0.13,-2.597,1,0.134,124.031,4,0.449
ICONIC (ft. Jaden Smith),80,298133,0.00606,0.39,0.779,0.0,1,0.29100000000000004,-5.612,1,0.243,175.89,4,0.213
Uptight Downtown,49,262000,0.0015,0.75,0.7240000000000001,0.00695,0,0.207,-7.902,1,0.0281,123.22200000000001,4,0.963
Uncle ACE,2,256693,0.0639,0.742,0.945,0.165,5,0.131,-6.445,1,0.0428,112.977,4,0.742
Cryin' Like A Bitch!!,65,201666,7.190000000000001e-05,0.5429999999999999,0.8079999999999999,0.00336,10,0.114,-5.484,1,0.0407,95.19,4,0.47200000000000003
"Soy un Truhán, Soy un Señor",50,183546,0.565,0.5760000000000001,0.698,0.0,0,0.386,-5.181,1,0.0321,98.855,4,0.708
I See You Baby - Fatboy Slim Radio Edit,41,210120,0.004370000000000001,0.5820000000000001,0.971,0.00295,3,0.171,-5.572,0,0.154,130.013,4,0.655
JustIce,24,128600,0.429,0.47600000000000003,0.5589999999999999,0.0128,5,0.45899999999999996,-9.418,1,0.23399999999999999,106.63,3,0.631
